Name,Platform,Year,Publisher,Global_Sales,Total_Sales
BioShock,MULTI,2007,Take-Two Interactive,2.83,4.28
Madden NFL 10,MULTI,2009,Electronic Arts,2.83,6.91
Medal of Honor,MULTI,2010,Electronic Arts,2.83,8.120000000000001
WWE SmackDown! vs. Raw,PS2,2002,THQ,2.83,2.83
Metroid Prime,GC,2002,Nintendo,2.82,2.82
Need for Speed: Hot Pursuit,MULTI,2010,Electronic Arts,2.81,5.51
WWE SmackDown! Here Comes the Pain,PS2,2003,THQ,2.8,2.8
Star Wars: The Force Unleashed,MULTI,2008,LucasArts,2.8,8.24
Hot Shots Golf,PS,1997,Sony Computer Entertainment,2.79,2.79
Killzone 3,PS3,2011,Sony Computer Entertainment,2.79,2.79
A Bug's Life,MULTI,1998,Sony Computer Entertainment,2.79,3.42
WWF SmackDown! Just Bring It,PS2,2001,THQ,2.79,2.79
Dragon Quest V: Tenkuu no Hanayome,MULTI,1992,Enix Corporation,2.79,4.4399999999999995
Mortal Kombat Trilogy,MULTI,1996,GT Interactive,2.79,3.75
NBA Street,MULTI,2001,Electronic Arts,2.79,3.21
Jak II,PS2,2003,Sony Computer Entertainment,2.78,2.78
inFAMOUS: Second Son,PS4,2014,Sony Computer Entertainment,2.78,2.78
Ratchet & Clank: Going Commando,PS2,2003,Sony Computer Entertainment,2.78,2.78
Tekken 6,MULTI,2009,Namco Bandai Games,2.78,4.09
The Sims,MULTI,2003,Electronic Arts,2.77,3.68
Sonic and the Secret Rings,Wii,2007,Sega,2.77,2.77
Saints Row: The Third,MULTI,2011,THQ,2.77,5.26
Missile Command,MULTI,1980,Atari,2.76,3.21
Mario Paint,SNES,1992,Nintendo,2.75,2.75
Pokémon Stadium 2,N64,2000,Nintendo,2.73,2.73
Metroid,NES,1986,Nintendo,2.73,2.73
Call of Duty 3,MULTI,2006,Activision,2.71,7.56
Onimusha: Warlords,PS2,2001,Virgin Interactive,2.7,2.7
Mortal Kombat X,MULTI,2015,Warner Bros. Interactive Entertainment,2.7,4.050000000000001
Mario Party,N64,1998,Nintendo,2.7,2.7
Madden NFL 12,MULTI,2011,Electronic Arts,2.69,5.4
LEGO Star Wars II: The Original Trilogy,MULTI,2006,LucasArts,2.69,4.74
Madden NFL 11,MULTI,2010,Electronic Arts,2.69,6.31
Skate 3,MULTI,2010,Electronic Arts,2.68,4.76
Burnout 3: Takedown,MULTI,2004,Electronic Arts,2.68,3.99
Need for Speed: Shift,MULTI,2009,Electronic Arts,2.68,4.6
Final Fantasy XIII-2,MULTI,2011,Square Enix,2.68,3.42
Call Of Duty 2: Big Red One,MULTI,2005,Activision,2.67,4.12
Fable,MULTI,2004,Microsoft Game Studios,2.66,3.14
Skylanders Giants,MULTI,2012,Activision,2.65,5.45
Super Mario Bros.: The Lost Levels,NES,1986,Nintendo,2.65,2.65
Star Wars: Shadows of the Empire,N64,1996,Nintendo,2.65,2.65
Midnight Club: Street Racing,PS2,2000,Take-Two Interactive,2.63,2.63
Halo Wars,X360,2009,Microsoft Game Studios,2.63,2.63
God of War Collection,PS3,2009,Sony Computer Entertainment,2.63,2.63
